title,certificate,duration,genre,rating,stars,votes
Anne with an E,TV-PG,60,"Drama, Family",8.7,7,54248
Jane the Virgin,TV-PG,60,Comedy,7.9,7,50019
Incantation,TV-MA,110,"Horror, Mystery",6.2,10,11424
Queen of the South,TV-MA,42,"Action, Crime, Drama",8.0,7,30158
Godless,TV-MA,452,"Action, Drama, Western",8.3,7,66821
Fullmetal Alchemist: Brotherhood,TV-14,24,"Animation, Action, Adventure",9.1,7,164032
Ray Donovan,TV-MA,60,"Crime, Drama",8.3,7,86921
Wind River,R,107,"Crime, Drama, Mystery",7.7,10,249800
Jumanji: The Next Level,PG-13,123,"Action, Adventure, Comedy",6.7,10,246668
Fakes,TV-MA,30,Comedy,6.3,7,594
The IT Crowd,TV-14,25,Comedy,8.5,7,151277
DC's Legends of Tomorrow,TV-14,42,"Action, Adventure, Drama",6.8,7,104446
Heartstopper,TV-14,30,"Drama, Romance",8.7,7,49420
Zodiac,R,157,"Crime, Drama, Mystery",7.7,10,536068
Iron Fist,TV-MA,55,"Action, Adventure, Crime",6.4,7,130223
Merlí. Sapere Aude,TV-MA,50,"Comedy, Drama",7.7,7,2298
The Affair,TV-MA,60,Drama,7.9,7,45649
Unbelievable,TV-MA,385,"Crime, Drama",8.4,7,100699
Enola Holmes,PG-13,123,"Action, Adventure, Crime",6.6,10,169720
Pirates of the Caribbean: Dead Men Tell No Tales,PG-13,129,"Action, Adventure, Fantasy",6.5,12,309009
Bates Motel,TV-MA,45,"Drama, Horror, Mystery",8.1,7,107362
Jujutsu Kaisen,TV-MA,24,"Animation, Action, Adventure",8.6,7,56920
Star Trek: Enterprise,TV-PG,60,"Action, Adventure, Drama",7.5,7,53374
Run,PG-13,90,"Mystery, Thriller",6.7,10,77264
The Green Knight,R,130,"Adventure, Drama, Fantasy",6.6,10,98337
All of Us Are Dead,TV-MA,60,"Action, Drama, Fantasy",7.5,7,47580
Jumanji: Welcome to the Jungle,PG-13,119,"Action, Adventure, Comedy",6.9,10,375650
"El Rey, Vicente Fernández",TV-14,52,"Biography, Drama, Music",6.4,7,127
Bodyguard,TV-MA,60,"Crime, Drama, Thriller",8.1,7,121426
Luther,TV-MA,60,"Crime, Drama, Mystery",8.4,7,136105
Fauda,TV-MA,60,"Action, Drama, Thriller",8.2,7,26699
Hubie Halloween,PG-13,103,"Comedy, Mystery",5.2,10,49569
Borgen,TV-14,58,Drama,8.5,7,26360
Marcella,TV-MA,45,"Crime, Drama, Mystery",7.4,7,31515
Reign,TV-14,42,Drama,7.4,7,49625
Love Between Fairy and Devil,TV-PG,40,"Comedy, Fantasy, Romance",8.6,7,365
Freaks and Geeks,TV-14,44,"Comedy, Drama",8.8,7,142164
High Heat,TV-MA,45,Drama,5.9,7,432
Workin' Moms,TV-MA,30,"Comedy, Drama",7.8,7,17710
Poldark,TV-14,60,"Drama, Romance",8.3,7,31763
Penny Dreadful,TV-MA,60,"Drama, Fantasy, Horror",8.2,7,121814
Medici,TV-14,60,"Biography, Drama, History",7.9,7,19261
Your Name.,PG,106,"Animation, Drama, Fantasy",8.4,10,262352
Venom,PG-13,112,"Action, Adventure, Sci-Fi",6.6,10,478585
Californication,TV-MA,28,"Comedy, Drama",8.3,7,180641
The Platform,TV-MA,94,"Horror, Sci-Fi, Thriller",7.0,10,219327
Interceptor,TV-MA,99,"Action, Adventure, Drama",4.5,10,22251
Shadowhunters,TV-14,42,"Action, Drama, Fantasy",6.5,7,63040
Tropic Thunder,R,107,"Action, Comedy, War",7.0,10,413784
Howl's Moving Castle,PG,119,"Animation, Adventure, Family",8.2,10,390278
iZombie,TV-14,42,"Comedy, Crime, Drama",7.8,7,67849
SPY×FAMILY,TV-14,24,"Animation, Action, Comedy",8.6,7,19612
Fighting with My Family,PG-13,108,"Biography, Comedy, Drama",7.1,10,81142
Captain America: Civil War,PG-13,147,"Action, Adventure, Sci-Fi",7.8,12,776556
The Ranch,TV-MA,30,"Comedy, Drama, Western",7.5,7,38824
Will & Grace,TV-14,22,"Comedy, Romance",7.3,7,55858
I'm Thinking of Ending Things,R,134,"Drama, Thriller",6.6,10,85315
The Wonder,R,103,"Drama, Mystery, Thriller",7.6,10,87
Black Clover,TV-PG,24,"Animation, Action, Adventure",8.3,7,22411
Russian Doll,TV-MA,30,"Comedy, Drama, Mystery",7.8,7,94732
Snowpiercer,R,126,"Action, Sci-Fi, Thriller",7.1,10,359095
Below Deck Mediterranean,TV-14,43,Reality-TV,7.5,7,2757
Lost in Space,TV-PG,60,"Adventure, Drama, Family",7.3,7,99084
The Forgotten Battle,TV-MA,124,"Drama, War",7.1,10,28608
A Cinderella Story,PG,95,"Comedy, Family, Romance",5.9,10,87840
6 Underground,R,128,"Action, Thriller",6.1,10,174852
Happy Valley,TV-MA,58,"Crime, Drama, Thriller",8.5,7,39851
The Stranger,TV-MA,363,"Crime, Drama, Mystery",7.3,7,50086
Public Enemies,R,140,"Action, Biography, Crime",7.0,10,302797
Sausage Party,R,89,"Animation, Adventure, Comedy",6.1,12,194159
Revenge,TV-14,44,"Drama, Mystery, Thriller",7.8,7,119927
The Invitation,Not Rated,100,"Drama, Horror, Mystery",6.6,10,108509
Paddington 2,PG,103,"Adventure, Comedy, Family",7.8,10,77861
Shameless,TV-MA,90,"Comedy, Crime, Drama",8.0,7,16895
The Girl in the Mirror,TV-MA,56,"Drama, Horror, Mystery",6.2,7,1472
Terrifier,Unrated,82,"Horror, Thriller",5.6,10,19119
The Blues Brothers,R,133,"Action, Adventure, Comedy",7.9,10,199019
Merlí,TV-MA,58,"Comedy, Drama, Romance",8.6,7,8555
Polar,TV-MA,118,"Action, Thriller",6.3,10,89645
The Unforgivable,R,112,"Crime, Drama",7.1,10,107709
King Arthur: Legend of the Sword,PG-13,126,"Action, Adventure, Drama",6.7,10,216416
The Impossible,PG-13,114,"Adventure, Drama, History",7.5,10,223356
Vinland Saga,TV-MA,24,"Animation, Action, Adventure",8.8,7,36550
Spider-Man: Far from Home,PG-13,129,"Action, Adventure, Sci-Fi",7.4,10,482390
The Ballad of Buster Scruggs,R,133,"Comedy, Drama, Musical",7.3,12,146391
Madam Secretary,TV-PG,45,"Drama, Thriller",7.7,7,23203
Willy Wonka & the Chocolate Factory,G,100,"Family, Fantasy, Musical",7.8,10,200703
Full House,TV-G,22,"Comedy, Drama, Family",6.7,7,58833
